Word,Definition,Note
[1],,
Quo,how,"Quo usque tandem: ""How long"""
usque,all the way,
tandem,at last,
"abutere,",misuse,
"Catilinia,",catiline,suspected traitor
patientia,be obvious,
nostra?,our,
quam,any,
diu,all day,
etiam,furthermore,
furor,anger,
iste,that which you refer to,
tuus,your,
nostra,our,
eludet?,elude,
quem,who,
ad,to,
finem,end,
sese,himself,
effrenata,unbridled,
iactabit,throw away,
audacia?,boldness,
Nihilne,nothing,"""In no way at all ... ?"""
te,,Direct object of moverunt
nocturnum,at night,
praesidium,guard,
"Palati,",Palatine Hill,Palatine Hill
nihil,nothing,
urbis,city,
vigiliae,vigil,
nihil,nothing,
timor,fear,
"populi,",populace,
nihil,nothing,
concursus,encounter,
bonorum,good,
"omnium,",all,
nihil,nothing,Tricolon
hic,here,
munitissimus,defemded,
habendi,hold,Genitive case with locus. Habendi is a gerundive modyfing senatus
senatus,semate,
"locus,",place,
nihil,nothing,
horum,this,
ora,mouth,
vultusque,face,
moverunt?,agitate,
Patere,lie open,Infinitive in indirect statement after Sentis
tua,your,
consilia,plan,
non,not,
"sentis,",sense,
constrictam,choke,"""choked off and held back"" : Cicero uses a participle and a passive infitive"
iam,this,
horum,this,
omnium,all,
scientia,know,
teneri,hold,
coniurationem,join,
tuam,you,
non,not,
vides?,see,
Quid,anyone,
"proxima,",nearby,November 7th
quid,who,
superiore,above,November 6th
nocte,night,
"egeris,",carry out,
ubi,when,
"fueris,",will be,
quos,who,
"convocaveris,",call back,
quid,anyone,
consilia,debate,Partitive genetive
"ceperis,",take hold,
quem,that which,
nostrum,we,Partitive genetive
ignorare,ignorant,
arbitraris?,judge,
[2],,
O,oh,
"tempora,",the times,
o,oh,
mores!,the ways,
Senatus,senate,
haec,these,
intellegit.,understands,
Consul,Counsul,Roman consul
vidit;,sees,
hic,this,
tamen,however,
vivt.,lives,
Vivit?,lives,
immo,on the contrary,
vero,truth,
etiam,and also,
in,at,
senatum,the senate,
"venit,",comes,
fit,be made,
publici,public,
consilii,discussion,
"particeps,",taking part in,
nontant,not able,
et,and also,
designat,point out,
oculis,eye,
ad,to,
caedam,slaughter,
unum,one,
quemque,anyone who,
nostrum.,our,
Nos,we,
autem,but,
fortes,strength,
viri,man,
satis,enough,
facere,to make,
rei,things,rei pubicae: public things
publicae,public,
"videmur,",will see,
si,if,
istius,that of yours,
furorem,madness,
ac,with,
tela,weapon,
vitemus.,avoid,
Ad,to,
mortem,death,
"te,",you,
"Catilina,",Cataline,Roman conspirator
duci,lead,
issu,order,
consulis,decide upon,
iam,now,
pridem,previously,
"orportebat,",opportunity,
in,against,
te,you,
conferri,bring together,
"pestem,",plague,
quam,who,
"oportebat,",opportunity,
in,against,
te,you,
conferri,bring togther,
"pestem,",plague,
quam,,
tu,,
in,,
nos,,
[omnes,,
in,,
diu],,
machinaris,,